2022-06-10 18:08:38.016 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.016 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:38.016 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.016 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.016 [main] INFO  com.project.TicTacToe - - - o 
2022-06-10 18:08:38.016 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.017 [main] INFO  com.project.TicTacToe - - x x 
2022-06-10 18:08:38.017 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:38.017 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.017 [main] INFO  com.project.TicTacToe - - - o 
2022-06-10 18:08:38.017 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.017 [main] INFO  com.project.TicTacToe - o x x 
2022-06-10 18:08:38.017 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.017 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.017 [main] INFO  com.project.TicTacToe - - - o 
2022-06-10 18:08:38.017 [main] INFO  com.project.TicTacToe - x - - 
2022-06-10 18:08:38.018 [main] INFO  com.project.TicTacToe - o x x 
2022-06-10 18:08:38.018 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:38.018 [main] INFO  com.project.TicTacToe - Computer has won!
2022-06-10 18:08:38.018 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.018 [main] INFO  com.project.TicTacToe - - - o 
2022-06-10 18:08:38.018 [main] INFO  com.project.TicTacToe - x o - 
2022-06-10 18:08:38.018 [main] INFO  com.project.TicTacToe - o x x 
2022-06-10 18:08:38.018 [main] INFO  com.project.TicTacToe - Player 1 name is:dummy-player
2022-06-10 18:08:38.019 [main] INFO  com.project.TicTacToe - Player 2 name is menace
2022-06-10 18:08:38.019 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.019 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.019 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.019 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.019 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.019 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.019 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.019 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.019 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:38.019 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:38.020 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.020 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.020 [main] INFO  com.project.TicTacToe - - - o 
2022-06-10 18:08:38.020 [main] INFO  com.project.TicTacToe - - - x 
2022-06-10 18:08:38.020 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.020 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.020 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.020 [main] INFO  com.project.TicTacToe - - - o 
2022-06-10 18:08:38.020 [main] INFO  com.project.TicTacToe - - x x 
2022-06-10 18:08:38.020 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
2022-06-10 18:08:38.021 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.021 [main] INFO  com.project.TicTacToe - - - - 
2022-06-10 18:08:38.021 [main] INFO  com.project.TicTacToe - - - o 
2022-06-10 18:08:38.021 [main] INFO  com.project.TicTacToe - o x x 
2022-06-10 18:08:38.021 [main] INFO  com.project.TicTacToe - Dummy player's Turn (x):
2022-06-10 18:08:38.021 [main] INFO  com.project.TicTacToe - Board:
2022-06-10 18:08:38.021 [main] INFO  com.project.TicTacToe - - x - 
2022-06-10 18:08:38.021 [main] INFO  com.project.TicTacToe - - - o 
2022-06-10 18:08:38.021 [main] INFO  com.project.TicTacToe - o x x 
2022-06-10 18:08:38.021 [main] INFO  com.project.TicTacToe - Computer's Turn (o):
